"","baseMean","log2FoldChange","lfcSE","pvalue","padj","threshold"
"RYR2",39.5092628777996,-3.64410245116006,0.203102864122361,2.15506281098797e-72,4.8366074667003e-68,TRUE
"FAM20A",289.204269836518,3.02004999776413,0.214085190535201,3.32224908425171e-47,3.72806180989306e-43,TRUE
"SLFNL1",10.1757184984149,-1.48659174327431,0.114386625966215,3.24297997338658e-39,2.4260733180905e-35,TRUE
"TMT1B",56.2244873980211,2.91758204159553,0.230926978038118,1.43493929401908e-38,8.05108564391756e-35,TRUE
"ELANE",557.462260975308,2.20490411993611,0.19293659176107,4.67577807898399e-32,2.09876974853276e-28,TRUE
"DEFA1",11076.7858838005,3.0795574019354,0.270039294929324,8.04245929111494e-32,2.7602532520668e-28,TRUE
"RAVER2",80.1290929839786,-1.22350038428362,0.105851467492635,8.60926469922363e-32,2.7602532520668e-28,TRUE
"C1QB",733.634212457261,2.03984492681938,0.182321508167783,7.78299649920026e-31,2.18342238039439e-27,TRUE
"C1QC",280.118097601967,2.24781295450568,0.205012959941474,7.45630263746544e-30,1.85935333436263e-26,TRUE
"AZU1",505.97696693062,1.94019793506087,0.184378641754684,1.1742733088852e-27,2.63542158713105e-24,TRUE
"FUCA2",951.333008171203,0.418267015491497,0.0391000256259623,1.40171815969406e-27,2.7153798485637e-24,TRUE
"COL4A4",38.5787737120637,-1.02679136462037,0.0962855271279436,1.45188068363251e-27,2.7153798485637e-24,TRUE
"PRTN3",162.367735612876,2.12952045263187,0.204172182285472,2.29935505423899e-27,3.96957119094504e-24,TRUE
"MPO",558.441611845603,1.57122496098397,0.150762327470412,5.33195018381545e-27,8.54749699824072e-24,TRUE
"RGPD4-AS1",5.98572627108224,-1.30970924116849,0.125529765986445,1.06952437214687e-26,1.60022236560614e-23,TRUE
"ANOS1",33.7372274487144,1.50226328308736,0.14832853300811,9.23896694160701e-26,1.29593834419054e-22,TRUE
"C1QA",840.961483562366,1.61622027504306,0.161924602115072,3.95707681190346e-25,5.22403969938526e-22,TRUE
"ZNRD2",707.418379771399,0.44675735149005,0.0442282603845441,4.67512331608757e-25,5.82909958794185e-22,TRUE
"DEFA4",541.87765903589,2.11406828610103,0.214614008262218,1.07057528771559e-24,1.2645747990632e-21,TRUE
"NUDT21",1511.81188648285,0.276739988228651,0.027569768964649,2.47909845807396e-24,2.7819203347277e-21,TRUE
"NDST2",2796.25530781332,0.265658258928948,0.0264322341629048,3.03999590136446e-24,3.24888704830108e-21,TRUE
"FAM32A",2890.74311592351,0.267887200963569,0.0259141234132707,4.07379003093121e-24,4.15582134837224e-21,TRUE
